id,age,division,department,class,stock,reviews,feedback,rating,recommend 
371,39,General Petite,Bottoms,Skirts,1020,"Beautiful, unique piece",0,5,1
372,43,General,Tops,Knits,861,Fit off,9,3,1
373,52,General,Tops,Knits,865,,0,5,1
374,29,General,Tops,Knits,868,Bulky!,1,3,0
375,71,General Petite,Jackets,Outerwear,1126,Incredible find!,1,5,1
376,49,General Petite,Jackets,Outerwear,1116,,5,5,1
377,39,General,Dresses,Dresses,1078,Missed the mark for me,16,3,1
378,70,General,Tops,Blouses,824,,4,3,0
379,33,Initmates,Intimate,Swim,406,Looks beautiful on!,0,4,1
380,48,General Petite,Bottoms,Skirts,1008,Coolest skirt i've seen in a while,18,5,1
381,47,General,Bottoms,Jeans,1033,Fantastic white pant!,0,4,1
382,43,General,Tops,Blouses,850,Huge blouse,10,2,0
383,45,General Petite,Tops,Knits,862,Great top,1,5,1
384,36,General Petite,Dresses,Dresses,1086,,5,5,1
385,39,General Petite,Tops,Sweaters,936,,1,5,1
386,39,General,Dresses,Dresses,1094,Heavy material,0,3,0
387,37,General,Tops,Knits,862,Great 3 season top,0,5,1
388,32,General,Dresses,Dresses,1094,Beautiful dress!,0,5,1
389,68,General Petite,Tops,Sweaters,933,Wonderful sweater!!,1,5,1
390,46,General,Tops,Knits,860,Not flatteuing,1,3,0
391,31,General,Dresses,Dresses,1092,Great dress,0,5,1
392,58,General Petite,Tops,Blouses,834,Cute top,0,5,1
393,34,General Petite,Tops,Blouses,835,Better in person,3,5,1
394,44,General,Tops,Blouses,836,Subdued sexy,6,5,1
395,52,General Petite,Tops,Knits,872,,0,5,1
396,25,General,Jackets,Outerwear,1121,"Beautiful design, poor execution",4,1,0
397,45,General,Dresses,Dresses,1094,Elorn will be worn,1,4,1
398,67,Initmates,Intimate,Sleep,89,Some things you should know...,1,4,1
399,50,General,Tops,Knits,867,6 compliments in 1 day!,2,5,1
400,45,General,Dresses,Dresses,1081,More beautiful than it looks!,4,5,1
401,27,General Petite,Bottoms,Pants,1048,Flattering + chic + comfortable,0,5,1
402,35,General Petite,Tops,Blouses,836,,2,4,1
403,29,General Petite,Bottoms,Pants,1068,Great find,0,5,1
404,63,Initmates,Intimate,Sleep,168,Checkerboard sleep top,0,4,1
405,39,General Petite,Dresses,Dresses,1095,Great summer dress,1,4,1
406,46,General,Tops,Fine gauge,898,Too small!,1,2,1
407,42,General Petite,Dresses,Dresses,1081,,0,5,1
408,47,General Petite,Tops,Knits,866,,0,4,1
409,29,General Petite,Tops,Knits,872,Fun jacket!,2,5,1
410,57,General Petite,Dresses,Dresses,1078,Picture misleading,0,3,0
411,36,Initmates,Intimate,Legwear,229,Get these if you want to run around bare-bottomed!,2,1,0
412,50,General,Dresses,Dresses,1081,Beautiful dress!,0,5,1
413,20,General Petite,Dresses,Dresses,1110,Cute dress,1,3,0
414,44,General,Tops,Knits,868,,2,4,1
415,62,General Petite,Tops,Knits,862,Gorgeously draped top,4,5,1
416,43,General,Dresses,Dresses,1078,This dress is everything,0,5,1
417,22,General,Dresses,Dresses,1077,,8,5,1
418,59,General,Tops,Knits,862,Only lasted one wash,1,2,0
419,53,Initmates,Intimate,Lounge,287,Cute and warm,1,5,1
420,55,General,Tops,Sweaters,949,Versatile; size down,0,5,1
421,45,General,Tops,Knits,880,"Great patterns, too big",0,2,0
422,47,General,Bottoms,Pants,1068,Love these pants,0,5,1
423,31,General,Bottoms,Jeans,1022,A long last ; perfect leggings,4,5,1
424,67,General,Tops,Knits,868,,0,5,1
425,39,General,Bottoms,Shorts,602,,0,5,1
426,47,General,Tops,Knits,873,Soft delicate casual top,2,5,1
